,county_fips_code,county_name,populations
0,6073,San Diego County,3338330
1,1097,Mobile County,413210
2,34015,Gloucester County,291636
3,26065,Ingham County,292406
4,29077,Greene County,293086
5,42007,Beaver County,163929
6,55133,Waukesha County,404198
7,6097,Sonoma County,494336
8,13057,Cherokee County,258773
9,25027,Worcester County,830622
10,42089,Monroe County,170271
11,48201,Harris County,4713325
12,16083,Twin Falls County,86878
13,21059,Daviess County,101511
14,25011,Franklin County,70180
15,48309,McLennan County,256623
16,48321,Matagorda County,36643
17,17031,Cook County,5150233
18,1089,Madison County,372909
19,9013,Tolland County,150721
20,24021,Frederick County,259547
21,29099,Jefferson County,225081
22,36053,Madison County,70941
23,12113,Santa Rosa County,184313
24,12117,Seminole County,471826
25,25023,Plymouth County,521202
26,45083,Spartanburg County,319785
27,6019,Fresno County,999101
28,53063,Spokane County,522798
29,22033,East Baton Rouge Parish,440059
30,28151,Washington County,43909
31,13077,Coweta County,148509
32,17111,McHenry County,307774
33,9009,New Haven County,854757
34,39035,Cuyahoga County,1235072
35,42045,Delaware County,566747
36,13223,Paulding County,168667
37,36083,Rensselaer County,158714
38,36105,Sullivan County,75432
39,37071,Gaston County,224529
40,42003,Allegheny County,1216045
41,13045,Carroll County,119992
42,19183,Washington County,21965
43,34041,Warren County,105267
44,42107,Schuylkill County,141359
45,37063,Durham County,321488
46,45051,Horry County,354081
47,34005,Burlington County,445349
48,42017,Bucks County,628270
49,1127,Walker County,63521
50,13247,Rockdale County,90896
51,18079,Jennings County,27735
52,48355,Nueces County,362294
53,28047,Harrison County,208080
54,45079,Richland County,415759
55,24510,Baltimore City,593490
56,4019,Pima County,1047279
57,6107,Tulare County,466195
58,4013,Maricopa County,4485414
59,6111,Ventura County,846006
60,53077,Yakima County,250873
61,6053,Monterey County,434061
62,22057,Lafourche Parish,97614
63,25001,Barnstable County,212990
64,44007,Providence County,638931
65,8123,Weld County,324492
