temperature,infections
65.4,572.0
60.4,3616.0
61.0,2889.0
53.9,3410.0
51.6,1091.0
55.0,3532.0
56.4,3753.0
59.2,1480.0
58.8,3408.0
56.3,1963.0
58.5,1757.0
57.3,1844.0
56.6,1480.0
57.6,3222.0
57.5,3511.0
59.3,1918.0
61.4,3461.0
61.3,2871.0
60.6,1557.0
61.8,6476.0
61.2,1719.0
59.9,5194.0
62.5,1158.0
65.8,3045.0
68.1,960.0
67.3,4629.0
59.6,3.0
59.0,3295.0
61.5,3373.0
61.6,3565.0
62.1,3377.0
61.9,1849.0
62.0,897.0
65.3,8864.0
64.4,828.0
61.7,6387.0
58.4,1581.0
59.4,2266.0
60.5,2651.0
62.4,8702.0
62.6,798.0
56.8,8421.0
60.3,1126.0
62.3,750.0
62.2,1973.0
60.7,2601.0
58.7,1633.0
59.5,3342.0
63.4,3172.0
65.9,1946.0
63.9,7592.0
62.7,7950.0
63.1,2460.0
64.3,2963.0
64.7,4849.0
67.1,6626.0
70.4,3647.0
68.8,4327.0
68.7,5635.0
68.2,3425.0
68.5,4256.0
68.0,4450.0
48.2,13777.0
50.4,1621.0
55.5,769.0
66.2,435.0
67.2,2066.0
42.8,4771.0
55.3,4783.0
68.4,1179.0
69.8,1119.0
67.9,665.0
59.7,4664.0
47.0,1879.0
49.7,3997.0
50.9,71563.0
69.0,1975.0
63.8,1834.0
53.2,955.0
43.3,2628.0
43.7,7883.0
52.0,7814.0
50.6,1075.0
42.1,4976.0
47.2,5811.0
56.1,1490.0
70.3,205.0
64.2,1290.0
55.8,2749.0
51.2,2997.0
65.1,1377.0
65.5,183.0
67.4,6509.0
69.3,1707.0
66.0,6095.0
66.6,1450.0
69.4,1175.0
73.1,620.0
73.0,1439.0
64.0,1515.0
71.4,2115.0
72.7,32.0
74.0,277.0
72.0,871.0
73.6,761.0
75.7,265.0
75.3,1580.0
70.5,7086.0
70.8,1743.0
75.6,506.0
77.2,260.0
63.3,1535.0
72.5,1785.0
71.2,4068.0
64.1,1628.0
67.8,828.0
72.8,1563.0
69.6,4238.0
72.9,1686.0
66.8,3068.0
67.7,3650.0
38.9,958.0
38.0,1321.0
46.0,4890.0
42.6,23114.0
40.8,451.0
47.6,250.0
36.8,758.0
38.8,4804.0
44.3,7088.0
41.9,6963.0
41.7,17051.0
32.6,46.0
23.7,107.0
38.3,1907.0
43.2,5375.0
47.8,15878.0
46.1,5040.0
33.9,30.0
28.8,6473.0
38.1,1275.0
45.6,3995.0
47.4,2970.0
47.1,1928.0
42.2,3341.0
36.7,43.0
36.3,251.0
48.8,4712.0
51.0,980.0
46.7,1994.0
39.3,1674.0
40.4,4154.0
45.3,9252.0
54.7,501.0
58.9,1356.0
51.7,2885.0
48.7,8654.0
51.1,4295.0
46.5,3828.0
42.9,7315.0
47.3,15785.0
48.5,4067.0
48.1,497.0
58.0,3944.0
46.8,9098.0
44.6,30.0
47.5,10899.0
49.1,6540.0
49.6,8483.0
50.2,1935.0
45.4,3547.0
44.4,5420.0
51.5,1803.0
51.3,6382.0
57.8,2005.0
54.1,1908.0
45.0,5811.0
55.9,4219.0
45.1,4860.0
46.2,683.0
53.0,3199.0
52.4,3991.0
45.5,2824.0
47.9,3227.0
53.4,2988.0
52.8,3917.0
43.0,5436.0
28.1,23196.0
16.1,0.0
17.1,11.0
29.8,0.0
28.2,27.0
27.9,0.0
23.0,3255.0
25.7,3.0
30.5,37.0
12.0,0.0
20.2,0.0
27.2,0.0
21.2,0.0
21.1,0.0
11.9,0.0
-0.3,0.0
5.3,0.0
26.3,0.0
31.3,7439.0
33.2,2468.0
31.4,33.0
26.1,0.0
13.4,0.0
28.7,0.0
34.3,3381.0
39.9,1602.0
26.7,1418.0
37.2,2.0
34.6,14709.0
44.7,4350.0
24.2,0.0
15.6,0.0
21.9,0.0
33.3,22.0
35.6,343.0
30.2,0.0
14.9,1.0
8.3,1.0
8.1,1.0
11.0,1.0
18.5,1.0
17.6,2.0
16.6,2.0
17.3,6.0
20.5,7.0
28.5,252.0
39.8,71.0
29.0,18.0
27.5,15.0
33.4,26.0
23.1,79.0
11.7,91.0
14.0,121.0
26.5,130.0
22.8,152.0
25.3,168.0
30.7,172.0
36.1,14125.0
37.3,4693.0
23.9,241.0
25.2,250.0
36.2,277.0
33.6,3028.0
35.7,271.0
44.9,1577.0
57.4,4529.0
55.4,2661.0
52.2,3860.0
48.0,1003.0
59.8,433.0
65.7,2902.0
35.4,2356.0
41.4,675.0
54.5,1408.0
36.9,519.0
31.5,0.0
29.5,20395.0
34.7,5152.0
36.5,5603.0
40.2,117.0
25.0,0.0
27.0,4.0
49.8,2931.0
35.5,1988.0
28.3,0.0
23.3,0.0
33.7,18088.0
40.6,931.0
48.4,9932.0
47.7,1976.0
27.4,0.0
27.6,0.0
45.9,3215.0
37.5,9907.0
44.5,13637.0
57.0,2365.0
54.3,5074.0
56.5,1368.0
36.0,5.0
45.8,2816.0
60.8,1201.0
41.8,3435.0
46.9,3366.0
52.1,8001.0
54.9,666.0
43.9,4857.0
43.8,10955.0
44.8,2470.0
55.1,485.0
54.4,1406.0
38.6,105.0
33.0,71.0
52.3,3221.0
64.6,305.0
32.1,0.0
39.6,365.0
49.9,2570.0
49.3,2131.0
32.9,0.0
28.4,0.0
32.5,1.0
42.4,6099.0
35.1,3.0
32.2,235.0
19.5,2.0
22.4,0.0
34.2,1406.0
32.0,215.0
24.0,15474.0
22.5,0.0
39.5,1232.0
24.8,0.0
24.4,0.0
48.6,3761.0
41.5,28472.0
35.3,1228.0
44.2,6971.0
56.7,1735.0
41.1,219.0
51.9,3615.0
42.5,1956.0
44.1,588.0
52.7,1333.0
66.3,1281.0
49.4,836.0
55.6,2468.0
46.6,1209.0
39.7,4631.0
40.5,8393.0
37.8,1604.0
54.8,2223.0
49.2,7594.0
52.6,4372.0
51.8,3000.0
27.1,0.0
28.9,0.0
30.4,26.0
29.2,0.0
29.9,0.0
26.0,5.0
26.6,0.0
17.0,2.0
5.4,0.0
17.8,0.0
12.8,0.0
34.8,25405.0
21.7,0.0
35.9,337.0
43.6,3252.0
41.0,1062.0
34.1,1.0
34.4,394.0
39.2,174.0
38.7,25841.0
41.6,4356.0
37.7,10070.0
32.8,47.0
43.5,1624.0
37.4,1580.0
40.1,352.0
50.5,4943.0
37.6,590.0
50.0,6434.0
40.3,765.0
44.0,7099.0
46.4,2532.0
50.3,6164.0
43.1,1439.0
53.5,4051.0
54.6,1468.0
52.9,3832.0
50.8,9109.0
53.1,1536.0
45.7,5043.0
53.8,3270.0
52.5,558.0
51.4,2392.0
46.3,4226.0
56.2,3819.0
54.0,2020.0
57.1,1869.0
54.2,2255.0
53.3,3413.0
72.4,2925.0
65.6,1402.0
62.8,1623.0
39.0,29875.0
64.5,1447.0
56.0,5091.0
41.3,1505.0
60.9,703.0
70.6,458.0
71.7,2664.0
72.2,631.0
72.1,2262.0
69.7,6056.0
73.8,457.0
75.9,371.0
60.0,984.0
75.2,199.0
78.6,147.0
73.7,732.0
63.5,6402.0
68.9,1663.0
58.2,3589.0
65.0,8772.0
69.5,2701.0
73.4,1125.0
34.9,79.0
22.6,0.0
24.9,16400.0
34.0,79.0
21.5,0.0
14.8,0.0
19.8,0.0
31.1,924.0
38.5,47.0
22.0,548.0
42.7,6294.0
37.1,23878.0
42.0,4896.0
29.1,24.0
50.7,881.0
45.2,5532.0
41.2,2310.0
40.0,3769.0
40.7,3804.0
43.4,6751.0
37.9,1296.0
35.2,4497.0
11.6,0.0
29.7,0.0
32.3,0.0
40.9,222.0
30.3,0.0
49.5,167.0
55.2,1440.0
48.9,5061.0
53.7,1238.0
59.1,7590.0
71.5,2651.0
69.1,0.0
49.0,2777.0
71.9,364.0
70.9,1357.0
74.3,254.0
74.2,374.0
71.0,6054.0
60.2,6173.0
66.4,7481.0
66.7,6472.0
31.9,3727.0
20.6,2.0
32.7,7.0
36.6,11713.0
20.3,0.0
23.4,0.0
31.0,20.0
30.8,2.0
34.5,32.0
32.4,15224.0
58.3,799.0
31.8,0.0
37.0,37532.0
35.8,3882.0
28.6,0.0
13.6,0.0
24.3,0.0
38.2,0.0
57.7,3478.0
70.1,176.0
50.1,8025.0
55.7,1296.0
67.5,1966.0
56.9,923.0
63.2,1743.0
70.2,2108.0
53.6,2.0
71.3,2107.0
57.2,1024.0
63.6,679.0
64.8,424.0
63.0,4509.0
66.9,2238.0
73.9,3346.0
75.5,787.0
67.0,1860.0
74.1,539.0
75.0,269.0
74.9,2060.0
78.5,539.0
74.5,455.0
67.6,1236.0
68.6,1160.0
74.4,135.0
76.6,1222.0
80.3,909.0
7.4,2.0
6.5,2.0
0.6,2.0
-4.0,2.0
14.3,2.0
7.6,2.0
10.7,2.0
-11.0,2.0
-3.6,2.0
0.8,2.0
6.1,2.0
16.5,2.0
-0.1,2.0
4.3,2.0
20.7,2.0
9.8,2.0
9.3,2.0
10.3,2.0
27.3,2.0
31.2,4.0
13.7,5.0
15.3,7.0
23.5,17.0
20.0,40.0
18.1,51.0
29.6,17357.0
18.8,278.0
14.2,411.0
29.4,16489.0
33.8,10520.0
26.9,22101.0
39.1,31110.0
33.5,2144.0
29.3,0.0
31.7,257.0
19.3,0.0
24.6,0.0
35.0,0.0
62.9,1852.0
38.4,297.0
48.3,4952.0
36.4,169.0
26.4,0.0
27.7,0.0
42.3,1147.0
57.9,478.0
25.6,0.0
33.1,0.0
60.1,634.0
58.1,1715.0
68.3,1142.0
69.2,1015.0
71.8,3646.0
76.4,110.0
73.2,111.0
77.9,87.0
78.1,971.0
66.5,220.0
74.7,1183.0
72.3,3321.0
75.8,3619.0
75.4,0.0
77.6,94.0
72.6,564.0
77.1,2847.0
77.5,55.0
77.0,400.0
75.1,132.0
77.7,547.0
76.8,251.0
77.8,960.0
79.6,88.0
76.3,300.0
80.5,218.0
78.9,667.0
81.9,242.0
83.7,255.0
81.7,268.0
80.0,275.0
76.1,1122.0
74.8,934.0
81.0,333.0
79.0,371.0
21.4,0.0
24.7,0.0
0.0,30671.0
65.2,3020.0
66.1,1518.0
76.7,443.0
78.4,521.0
30.6,0.0
18.9,0.0
69.9,1839.0
58.6,2607.0
73.3,2848.0
64.9,8.0
70.0,791.0
76.5,2413.0
70.7,1727.0
6.0,0.0
23.8,0.0
22.7,0.0
17.5,0.0
25.5,0.0
39.4,574.0
30.1,8.0
31.6,0.0
17.4,0.0
22.2,0.0
23.2,0.0
23.6,0.0
30.0,69.0
26.8,0.0
10.9,0.0
22.9,0.0
25.1,0.0
19.0,0.0
21.8,0.0
71.6,102.0
61.1,567.0
18.4,0.0
63.7,129.0
71.1,1435.0
21.0,0.0
73.5,817.0
76.9,154.0
74.6,1063.0
76.2,20.0
77.3,89.0
78.8,59.0
82.2,4054.0
78.3,1420.0
81.3,90.0
80.7,91.0
81.4,94.0
79.5,1415.0
81.1,1541.0
79.8,1164.0
83.8,1188.0
84.9,1215.0
84.6,2970.0
86.1,3116.0
87.5,3234.0
87.4,3359.0
86.7,3457.0
89.4,3578.0
89.6,3723.0
77.4,15.0
78.0,16.0
79.2,28.0
80.1,30.0
79.3,322.0
79.7,560.0
27.8,0.0
30.9,0.0
